70 87.6 2.5 1545
65 68.2 2.5 1545
60 55.7 6.2 1547.2
55 46.1 11 1548
50 39.27 16.7 1547.1
45 32.13 22.8 1543.8
40 26.99 28.6 1537.9
35 22.95 33.3 1529.5
30 18.69 36.2 1519
25 15.55 36.7 1507.2
20 11.24 34.2 1495.1
15 8.7 28.9 1483.9
10 6.06 20.9 1475
5 2.44 11 1469.1
70 88.1 2.5 1545
65 68.8 2.5 1545
60 56.7 6.2 1547.2
55 49.7 11 1548
50 39.7 16.7 1547.1
45 33.59 22.8 1543.8
40 27.65 28.6 1537.9
35 23.88 33.3 1529.5
30 19.17 36.2 1519
25 16.12 36.7 1507.2
20 12.34 34.2 1495.1
15 9.52 28.9 1483.9
10 6.26 20.9 1475
5 3.68 11 1469.1
